Cliente_ID,Frecuencia,Transaccionalidad,Ingresos,Indice_Cliente,Categoria_Indice,Cluster
1277,32.0,1798.81,807.63,0.37539410527157024,Muy Bajo,0
1278,44.0,1883.5,833.0,0.6653243925689281,Muy Bajo,0
1279,26.0,3407.93,2070.0,0.3512042759208919,Muy Bajo,0
1280,6.0,487.05,1220.0,-0.30826150007131575,Muy Bajo,0
1281,4.0,195.72,877.6,-0.3793644569034306,Muy Bajo,0
1282,35.0,18119.32,849.15,1.3863661154000415,Muy Bajo,0
1283,5.0,297.81,158.0,-0.364315983537092,Muy Bajo,0
1284,2.0,169.08,5000.0,-0.345040716378406,Muy Bajo,0
1285,4.0,204.67,950.0,-0.3773868970128442,Muy Bajo,0
1286,46.0,2587.83,953.51,0.7557065950261136,Muy Bajo,0
1287,12.0,1212.75,158.0,-0.14569044624587923,Muy Bajo,0
1288,8.0,1311.27,697.72,-0.22396708602454837,Muy Bajo,0
1289,8.0,1093.89,870.69,-0.23297965919716876,Muy Bajo,0
1290,8.0,1247.97,819.16,-0.22515570864713513,Muy Bajo,0
1291,7.0,299.24,150.0,-0.3169711342510482,Muy Bajo,0
1292,6.0,461.91,0.0,-0.3343543444904279,Muy Bajo,0
1293,2.0,1000.84,835.0,-0.38132685045584425,Muy Bajo,0
1294,1.0,0.02,260.0,-0.4742370439226918,Muy Bajo,0
1295,4.0,43.11,1511.0,-0.37534890309275615,Muy Bajo,0
1296,1.0,0.02,1430.0,-0.45060072303417165,Muy Bajo,0
1297,6.0,7468.56,467.3,0.07821210266587322,Muy Bajo,0
1298,7.0,476.85,1513.0,-0.2792170783938708,Muy Bajo,0
1299,3.0,1665.08,0.0,-0.33626650991670426,Muy Bajo,0
1300,13.0,2180.05,1822.43,-0.0327001715108622,Muy Bajo,0
1301,19.0,1977.14,986.03,0.08100107858181232,Muy Bajo,0
1302,3.0,2649.32,1009.0,-0.25925467738764923,Muy Bajo,0
1303,1.0,0.02,0.0,-0.47948955967569623,Muy Bajo,0
1304,8.0,236.98,158.0,-0.29667953851973755,Muy Bajo,0
1305,5.0,219.71,807.63,-0.35568563513857043,Muy Bajo,0
1306,5.0,1756.14,800.0,-0.26744161557561646,Muy Bajo,0
1307,16.0,2108.7,650.55,0.010656707012236118,Muy Bajo,0
1308,16.0,1760.7,807.63,-0.006192068530755353,Muy Bajo,0
1309,9.0,1368.36,770.91,-0.1954917470889546,Muy Bajo,0
1310,35.0,2366.19,1022.18,0.48350880948143643,Muy Bajo,0
1311,6.0,497.57,1309.31,-0.30585199503371374,Muy Bajo,0
1312,23.0,2602.62,1010.06,0.2123217667417903,Muy Bajo,0
1313,1.0,0.26,1154.0,-0.4561626621788314,Muy Bajo,0
1314,1.0,0.02,1054.0,-0.4581966688923627,Muy Bajo,0
1315,2.0,19.71,1600.0,-0.4223214307993829,Muy Bajo,0
1316,34.0,21631.86,819.16,1.5641413757837206,Muy Bajo,0
1317,5.0,2249.53,2115.21,-0.2124846799642163,Muy Bajo,0
1318,23.0,34.09,2800.0,0.10070229914570436,Muy Bajo,0
1319,32.0,14135.05,1174.53,1.0925690567699862,Muy Bajo,0
1320,25.0,2290.13,1254.62,0.24670751115795692,Muy Bajo,0
1321,4.0,237.15,725.0,-0.3800636137114254,Muy Bajo,0
1322,8.0,330.86,1844.53,-0.25720692194382655,Muy Bajo,0
1323,19.0,1557.91,720.6,0.051518560602939883,Muy Bajo,0
1324,19.0,1459.89,819.16,0.04787010906270385,Muy Bajo,0
1325,1.0,0.03,1350.0,-0.45221630637961246,Muy Bajo,0
